Ref,Val,Package,PosX,PosY,Rot,Side
"J1","3.5mm Jack","Molex-0472570001",91.650000,-64.850000,0.000000,top
"J4","3.5mm Jack","Molex-0472570001",91.650000,-126.850000,0.000000,top
"J5","3.5mm Jack","Molex-0472570001",51.000000,-114.850000,0.000000,top
"J6","3.5mm Jack","Molex-0472570001",51.000000,-76.850000,0.000000,top
"J7","3.5mm Jack","Molex-0472570001",51.000000,-52.850000,0.000000,top
"J8","3.5mm Jack","Molex-0472570001",51.000000,-126.850000,0.000000,top
"J9","3.5mm Jack","Molex-0472570001",51.000000,-88.850000,0.000000,top
"J10","3.5mm Jack","Molex-0472570001",51.000000,-64.850000,0.000000,top
"J11","3.5mm Jack","Molex-0472570001",51.000000,-138.850000,0.000000,top
"J12","3.5mm Jack","Molex-0472570001",51.000000,-102.850000,0.000000,top
"RV1","1K","Potentiometer_Bourns_PTV09A-1_Single_Vertical",92.520000,-108.030000,90.000000,top
"U20","VTL5C","PerkinElmer_VTL5C",58.170000,-112.600000,0.000000,top
"U21","VTL5C","PerkinElmer_VTL5C",58.170000,-74.600000,0.000000,top
"U22","VTL5C","PerkinElmer_VTL5C",58.170000,-50.600000,0.000000,top
"U26","VTL5C","PerkinElmer_VTL5C",58.170000,-124.600000,0.000000,top
"U27","VTL5C","PerkinElmer_VTL5C",58.170000,-86.600000,0.000000,top
"U28","VTL5C","PerkinElmer_VTL5C",58.170000,-62.600000,0.000000,top
"U32","VTL5C","PerkinElmer_VTL5C",58.170000,-136.600000,0.000000,top
"U33","VTL5C","PerkinElmer_VTL5C",58.170000,-100.600000,0.000000,top
